scenario_type,input_text,target_response,final_state
rule_based,User: I need to get to King's Cross early morning. I also have a pet.,Got it! Looking for trains to King's Cross early morning with pet space. Please note that pet reservations are required on this route.,"{""destination"": ""King's Cross"", ""constraints"": [""pet""], ""time"": ""early morning"", ""priority"": ""most comfortable"", ""status"": ""resolved""}"
rule_based,User: What's the next train to Gatwick?,The next train to Gatwick departs in 12 minutes from Platform 2. It arrives at Gatwick at 14:35.,"{""destination"": ""Gatwick"", ""constraints"": [""large luggage""], ""time"": ""next available"", ""priority"": ""fewest changes"", ""status"": ""resolved""}"
rule_based,User: I need to reach Lime Street peak hours. My flight lands in 2 hours.,"For an urgent journey to Lime Street, the fastest option departs in 8 minutes. Journey time: 45 minutes. You'll arrive with time to spare. Platform 5 — please go now!","{""destination"": ""Lime Street"", ""constraints"": [""wheelchair""], ""time"": ""peak hours"", ""priority"": ""fewest changes"", ""status"": ""resolved""}"
rule_based,User: Any disruptions to Brighton today?,There are currently minor delays on the Brighton line due to engineering works. Trains are running approximately 15 minutes late. I recommend allowing extra time for your journey.,"{""destination"": ""Brighton"", ""constraints"": [""large luggage""], ""time"": ""peak hours"", ""priority"": ""quickest route"", ""status"": ""resolved""}"
rule_based,User: Train to Liverpool please,Happy to help! When would you like to travel to Liverpool?,"{""destination"": ""Liverpool"", ""constraints"": [""baby buggy""], ""time"": ""urgently"", ""priority"": ""quickest route"", ""status"": ""resolved""}"
rule_based,User: Train to Cambridge please,Happy to help! When would you like to travel to Cambridge?,"{""destination"": ""Cambridge"", ""constraints"": [""dog""], ""time"": ""off-peak"", ""priority"": ""most comfortable"", ""status"": ""resolved""}"
rule_based,User: I need to reach Heathrow this afternoon. My flight lands in 2 hours.,"For an urgent journey to Heathrow, the fastest option departs in 8 minutes. Journey time: 45 minutes. You'll arrive with time to spare. Platform 5 — please go now!","{""destination"": ""Heathrow"", ""constraints"": [""bike""], ""time"": ""this afternoon"", ""priority"": ""fewest changes"", ""status"": ""resolved""}"
rule_based,User: Show me trains to Cambridge with pet space,Here are trains to Cambridge with pet accommodation: • 08:30 - Platform 4 (2 pet spaces left) • 10:15 - Platform 1 (spaces available) • 12:00 - Platform 6 (fully booked),"{""destination"": ""Cambridge"", ""constraints"": [""pet""], ""time"": ""urgently"", ""priority"": ""fastest"", ""status"": ""resolved""}"
rule_based,User: Train to Wembley please,Happy to help! When would you like to travel to Wembley?,"{""destination"": ""Wembley"", ""constraints"": [""bicycle""], ""time"": ""tonight"", ""priority"": ""direct only"", ""status"": ""resolved""}"
rule_based,User: Any disruptions to Heathrow today?,There are currently minor delays on the Heathrow line due to engineering works. Trains are running approximately 15 minutes late. I recommend allowing extra time for your journey.,"{""destination"": ""Heathrow"", ""constraints"": [""bicycle""], ""time"": ""before midnight"", ""priority"": ""cheapest"", ""status"": ""resolved""}"
rule_based,User: Show me trains to Nottingham with large luggage space,Here are trains to Nottingham with large luggage accommodation: • 08:30 - Platform 4 (2 large luggage spaces left) • 10:15 - Platform 1 (spaces available) • 12:00 - Platform 6 (fully booked),"{""destination"": ""Nottingham"", ""constraints"": [""large luggage""], ""time"": ""first train"", ""priority"": ""direct only"", ""status"": ""resolved""}"
rule_based,User: I need to reach Exeter this afternoon. My flight lands in 2 hours.,"For an urgent journey to Exeter, the fastest option departs in 8 minutes. Journey time: 45 minutes. You'll arrive with time to spare. Platform 5 — please go now!","{""destination"": ""Exeter"", ""constraints"": [""wheelchair""], ""time"": ""this afternoon"", ""priority"": ""quickest route"", ""status"": ""resolved""}"
rule_based,User: Any disruptions to Newcastle today?,There are currently minor delays on the Newcastle line due to engineering works. Trains are running approximately 15 minutes late. I recommend allowing extra time for your journey.,"{""destination"": ""Newcastle"", ""constraints"": [""cat""], ""time"": ""first train"", ""priority"": ""direct only"", ""status"": ""resolved""}"
rule_based,User: Cheapest way to get to Waterloo?,The cheapest option to Waterloo is an Advance ticket at £74. Available on the 06:45 and 11:30 departures. Off-peak tickets from £92 are available after 09:30.,"{""destination"": ""Waterloo"", ""constraints"": [""bike""], ""time"": ""early morning"", ""priority"": ""most comfortable"", ""status"": ""resolved""}"
rule_based,User: What's the next train to Glasgow?,The next train to Glasgow departs in 12 minutes from Platform 2. It arrives at Glasgow at 14:35.,"{""destination"": ""Glasgow"", ""constraints"": [""wheelchair""], ""time"": ""tonight"", ""priority"": ""most comfortable"", ""status"": ""resolved""}"
rule_based,User: I need to get to Bristol before midnight. I also have a bicycle.,Got it! Looking for trains to Bristol before midnight with bicycle space. Please note that bicycle reservations are required on this route.,"{""destination"": ""Bristol"", ""constraints"": [""bicycle""], ""time"": ""before midnight"", ""priority"": ""fewest changes"", ""status"": ""resolved""}"
rule_based,User: I need to reach Gatwick tonight. My flight lands in 2 hours.,"For an urgent journey to Gatwick, the fastest option departs in 8 minutes. Journey time: 45 minutes. You'll arrive with time to spare. Platform 5 — please go now!","{""destination"": ""Gatwick"", ""constraints"": [""large luggage""], ""time"": ""tonight"", ""priority"": ""fastest"", ""status"": ""resolved""}"
rule_based,User: Show me trains to Sheffield with dog space,Here are trains to Sheffield with dog accommodation: • 08:30 - Platform 4 (2 dog spaces left) • 10:15 - Platform 1 (spaces available) • 12:00 - Platform 6 (fully booked),"{""destination"": ""Sheffield"", ""constraints"": [""dog""], ""time"": ""off-peak"", ""priority"": ""fastest"", ""status"": ""resolved""}"
rule_based,User: I need a cheapest train to Leeds peak hours,Sure! Searching for cheapest trains to Leeds peak hours. Found 3 options. The earliest departs at 07:15 from Platform 3.,"{""destination"": ""Leeds"", ""constraints"": [""cat""], ""time"": ""peak hours"", ""priority"": ""cheapest"", ""status"": ""resolved""}"
rule_based,User: Cheapest way to get to Leeds?,The cheapest option to Leeds is an Advance ticket at £61. Available on the 06:45 and 11:30 departures. Off-peak tickets from £79 are available after 09:30.,"{""destination"": ""Leeds"", ""constraints"": [""bicycle""], ""time"": ""early morning"", ""priority"": ""direct only"", ""status"": ""resolved""}"
rule_based,User: Train to Oxford please,Happy to help! When would you like to travel to Oxford?,"{""destination"": ""Oxford"", ""constraints"": [""dog""], ""time"": ""early morning"", ""priority"": ""quickest route"", ""status"": ""resolved""}"
rule_based,User: Train to Bristol please,Happy to help! When would you like to travel to Bristol?,"{""destination"": ""Bristol"", ""constraints"": [""pram""], ""time"": ""early morning"", ""priority"": ""fewest changes"", ""status"": ""resolved""}"
rule_based,User: Cheapest way to get to Edinburgh?,The cheapest option to Edinburgh is an Advance ticket at £36. Available on the 06:45 and 11:30 departures. Off-peak tickets from £56 are available after 09:30.,"{""destination"": ""Edinburgh"", ""constraints"": [""pushchair""], ""time"": ""tonight"", ""priority"": ""quickest route"", ""status"": ""resolved""}"
rule_based,User: Cheapest way to get to Waterloo?,The cheapest option to Waterloo is an Advance ticket at £72. Available on the 06:45 and 11:30 departures. Off-peak tickets from £87 are available after 09:30.,"{""destination"": ""Waterloo"", ""constraints"": [""pet""], ""time"": ""tonight"", ""priority"": ""cheapest"", ""status"": ""resolved""}"
rule_based,User: Any disruptions to Birmingham today?,There are currently minor delays on the Birmingham line due to engineering works. Trains are running approximately 15 minutes late. I recommend allowing extra time for your journey.,"{""destination"": ""Birmingham"", ""constraints"": [""pet""], ""time"": ""first train"", ""priority"": ""cheapest"", ""status"": ""resolved""}"
rule_based,User: What's the next train to York?,The next train to York departs in 12 minutes from Platform 2. It arrives at York at 14:35.,"{""destination"": ""York"", ""constraints"": [""pet""], ""time"": ""tomorrow morning"", ""priority"": ""direct only"", ""status"": ""resolved""}"
rule_based,User: Cheapest way to get to Leeds?,The cheapest option to Leeds is an Advance ticket at £77. Available on the 06:45 and 11:30 departures. Off-peak tickets from £95 are available after 09:30.,"{""destination"": ""Leeds"", ""constraints"": [""cat""], ""time"": ""before midnight"", ""priority"": ""fewest changes"", ""status"": ""resolved""}"
rule_based,User: What's the next train to Leicester?,The next train to Leicester departs in 12 minutes from Platform 2. It arrives at Leicester at 14:35.,"{""destination"": ""Leicester"", ""constraints"": [""pushchair""], ""time"": ""last train"", ""priority"": ""fewest changes"", ""status"": ""resolved""}"
rule_based,User: I need a cheapest train to Glasgow first train,Sure! Searching for cheapest trains to Glasgow first train. Found 3 options. The earliest departs at 07:15 from Platform 3.,"{""destination"": ""Glasgow"", ""constraints"": [""pram""], ""time"": ""first train"", ""priority"": ""cheapest"", ""status"": ""resolved""}"
rule_based,User: What's the next train to York?,The next train to York departs in 12 minutes from Platform 2. It arrives at York at 14:35.,"{""destination"": ""York"", ""constraints"": [""cat""], ""time"": ""next available"", ""priority"": ""most comfortable"", ""status"": ""resolved""}"
rule_based,User: Cheapest way to get to Gatwick?,The cheapest option to Gatwick is an Advance ticket at £45. Available on the 06:45 and 11:30 departures. Off-peak tickets from £59 are available after 09:30.,"{""destination"": ""Gatwick"", ""constraints"": [""pushchair""], ""time"": ""this evening"", ""priority"": ""fastest"", ""status"": ""resolved""}"
rule_based,User: Show me trains to Leeds with baby buggy space,Here are trains to Leeds with baby buggy accommodation: • 08:30 - Platform 4 (2 baby buggy spaces left) • 10:15 - Platform 1 (spaces available) • 12:00 - Platform 6 (fully booked),"{""destination"": ""Leeds"", ""constraints"": [""baby buggy""], ""time"": ""tomorrow morning"", ""priority"": ""quickest route"", ""status"": ""resolved""}"
rule_based,User: What's the next train to Heathrow?,The next train to Heathrow departs in 12 minutes from Platform 2. It arrives at Heathrow at 14:35.,"{""destination"": ""Heathrow"", ""constraints"": [""wheelchair""], ""time"": ""urgently"", ""priority"": ""cheapest"", ""status"": ""resolved""}"
rule_based,User: Show me trains to Edinburgh with large luggage space,Here are trains to Edinburgh with large luggage accommodation: • 08:30 - Platform 4 (2 large luggage spaces left) • 10:15 - Platform 1 (spaces available) • 12:00 - Platform 6 (fully booked),"{""destination"": ""Edinburgh"", ""constraints"": [""large luggage""], ""time"": ""tonight"", ""priority"": ""most comfortable"", ""status"": ""resolved""}"
rule_based,User: Show me trains to Liverpool with large luggage space,Here are trains to Liverpool with large luggage accommodation: • 08:30 - Platform 4 (2 large luggage spaces left) • 10:15 - Platform 1 (spaces available) • 12:00 - Platform 6 (fully booked),"{""destination"": ""Liverpool"", ""constraints"": [""large luggage""], ""time"": ""last train"", ""priority"": ""fastest"", ""status"": ""resolved""}"
rule_based,User: Cheapest way to get to Oxford?,The cheapest option to Oxford is an Advance ticket at £25. Available on the 06:45 and 11:30 departures. Off-peak tickets from £44 are available after 09:30.,"{""destination"": ""Oxford"", ""constraints"": [""large luggage""], ""time"": ""peak hours"", ""priority"": ""most comfortable"", ""status"": ""resolved""}"
rule_based,User: What's the next train to Waterloo?,The next train to Waterloo departs in 12 minutes from Platform 2. It arrives at Waterloo at 14:35.,"{""destination"": ""Waterloo"", ""constraints"": [""wheelchair""], ""time"": ""next available"", ""priority"": ""fastest"", ""status"": ""resolved""}"
rule_based,User: Cheapest way to get to York?,The cheapest option to York is an Advance ticket at £40. Available on the 06:45 and 11:30 departures. Off-peak tickets from £53 are available after 09:30.,"{""destination"": ""York"", ""constraints"": [""cat""], ""time"": ""this evening"", ""priority"": ""cheapest"", ""status"": ""resolved""}"
rule_based,User: Train to Gatwick please,Happy to help! When would you like to travel to Gatwick?,"{""destination"": ""Gatwick"", ""constraints"": [""accessibility needs""], ""time"": ""tonight"", ""priority"": ""quickest route"", ""status"": ""resolved""}"
rule_based,User: I need to reach Newcastle peak hours. My flight lands in 2 hours.,"For an urgent journey to Newcastle, the fastest option departs in 8 minutes. Journey time: 45 minutes. You'll arrive with time to spare. Platform 5 — please go now!","{""destination"": ""Newcastle"", ""constraints"": [""large luggage""], ""time"": ""peak hours"", ""priority"": ""fewest changes"", ""status"": ""resolved""}"
rule_based,User: I need a cheapest train to Liverpool off-peak,Sure! Searching for cheapest trains to Liverpool off-peak. Found 3 options. The earliest departs at 07:15 from Platform 3.,"{""destination"": ""Liverpool"", ""constraints"": [""bicycle""], ""time"": ""off-peak"", ""priority"": ""cheapest"", ""status"": ""resolved""}"
rule_based,User: I need to get to Leicester off-peak. I also have a bicycle.,Got it! Looking for trains to Leicester off-peak with bicycle space. Please note that bicycle reservations are required on this route.,"{""destination"": ""Leicester"", ""constraints"": [""bicycle""], ""time"": ""off-peak"", ""priority"": ""most comfortable"", ""status"": ""resolved""}"
rule_based,User: What's the next train to Victoria?,The next train to Victoria departs in 12 minutes from Platform 2. It arrives at Victoria at 14:35.,"{""destination"": ""Victoria"", ""constraints"": [""pushchair""], ""time"": ""before midnight"", ""priority"": ""cheapest"", ""status"": ""resolved""}"
